true_code,pred_code,match_type,true_content,pred_content
12정01-01,INVALID,invalid,"유무선 네트워크의 특성을 이해하고, 컴퓨팅 시스템 간 공유, 협력, 소통을 위한 네트워크 환경을 구성한다.",INVALID
12정01-01,INVALID,invalid,"유무선 네트워크의 특성을 이해하고, 컴퓨팅 시스템 간 공유, 협력, 소통을 위한 네트워크 환경을 구성한다.",INVALID
12정03-01,12정보03-03,exact,복잡한 문제를 해결 가능한 작은 문제로 분해하고 모델링한다.,복잡하고 어려운 문제를 해결 가능한 작은 단위의 문제로 분해하고 모델링 한다.
12정03-01,INVALID,invalid,복잡한 문제를 해결 가능한 작은 문제로 분해하고 모델링한다.,INVALID
12정03-01,INVALID,invalid,복잡한 문제를 해결 가능한 작은 문제로 분해하고 모델링한다.,INVALID
12정03-04,12정보04-02,exact,"자료형의 종류와 특성을 알고, 적합한 자료형을 선택하여 프로그램을 작성한다.",자료형에 적합한 변수를 정의하고 이를 활용한 프로그램 을 작성한다.
12정03-04,INVALID,invalid,"자료형의 종류와 특성을 알고, 적합한 자료형을 선택하여 프로그램을 작성한다.",INVALID
12정03-04,9정02-04,exact,"자료형의 종류와 특성을 알고, 적합한 자료형을 선택하여 프로그램을 작성한다.","사례를 중심으로 데이터 간의 관계를 파악하고, 데이터에 기반하여 의미를 해석한다."
12정03-05,9정01-01,exact,표준입출력과 파일입출력을 활용한 프로그램을 작성한다.,"컴퓨팅 시스템의 구성요소와 동작 원리를 이해하고, 운영 체제의 기능을 분석한다."
12정03-05,12정보04-02,exact,표준입출력과 파일입출력을 활용한 프로그램을 작성한다.,자료형에 적합한 변수를 정의하고 이를 활용한 프로그램 을 작성한다.
12정03-07,12정보04-05,exact,다양한 제어 구조를 복합적으로 활용한 프로그램을 작성한다.,"순차, 선택, 반복 구조를 활용한 프로그램을 작성한다."
12정03-07,12정보04-05,exact,다양한 제어 구조를 복합적으로 활용한 프로그램을 작성한다.,"순차, 선택, 반복 구조를 활용한 프로그램을 작성한다."
12정03-07,12정보04-05,exact,다양한 제어 구조를 복합적으로 활용한 프로그램을 작성한다.,"순차, 선택, 반복 구조를 활용한 프로그램을 작성한다."
12정03-07,12정보04-08,exact,다양한 제어 구조를 복합적으로 활용한 프로그램을 작성한다.,함수의 개념을 이해하고 함수를 활용한 프로그램을 작성한다.
12정05-01,12정보01-01,exact,디지털 기술이 사회에 미치는 영향력을 분석하고 발전 방향을 예측하여 진로를 설계한다.,정보사회에서 정보과학의 지식과 기술이 활용되는 분야 를 탐색하고 영향력을 평가한다.
12정05-01,12정보01-01,exact,디지털 기술이 사회에 미치는 영향력을 분석하고 발전 방향을 예측하여 진로를 설계한다.,정보사회에서 정보과학의 지식과 기술이 활용되는 분야 를 탐색하고 영향력을 평가한다.
12정05-01,12정보01-01,exact,디지털 기술이 사회에 미치는 영향력을 분석하고 발전 방향을 예측하여 진로를 설계한다.,정보사회에서 정보과학의 지식과 기술이 활용되는 분야 를 탐색하고 영향력을 평가한다.
12정보01-02,INVALID,invalid,정보과학 분야의 직업과 진로를 탐색한다,INVALID
12정보01-02,9정01-03,exact,정보과학 분야의 직업과 진로를 탐색한다,문제 해결 목적에 맞는 피지컬 컴퓨팅 구성요소를 선택하여 시스템을 구상한다.
12정보01-03,12정보01-01,exact,정보보호 제도 및 방법에 따라 올바르게 정보를 공유하는 방법을 실천한다.,정보사회에서 정보과학의 지식과 기술이 활용되는 분야 를 탐색하고 영향력을 평가한다.
12정보01-04,12정보05-02,exact,"정보보안의 필요성을 이해하고 암호 설정, 접근 권한 관리 등 정보보안을 실천한다.",유무선 네트워크의 특성을 이해하고 사용하는 컴퓨팅 시스 템의 네트워크 환경을 설정한다.
12정보01-05,12정보05-02,exact,소프트웨어 저작권 보호 제도 및 방법을 알고 올바르게 활 용한다.,유무선 네트워크의 특성을 이해하고 사용하는 컴퓨팅 시스 템의 네트워크 환경을 설정한다.
12정보01-06,12정보01-03,exact,사이버 공간에서 발생하는 사회적 문제를 예방하기 위한 제도를 이해하고 사이버 윤리를 실천한다.,정보보호 제도 및 방법에 따라 올바르게 정보를 공유하는 방법을 실천한다.
12정보01-06,INVALID,invalid,사이버 공간에서 발생하는 사회적 문제를 예방하기 위한 제도를 이해하고 사이버 윤리를 실천한다.,INVALID
12정보01-06,12정보01-01,exact,사이버 공간에서 발생하는 사회적 문제를 예방하기 위한 제도를 이해하고 사이버 윤리를 실천한다.,정보사회에서 정보과학의 지식과 기술이 활용되는 분야 를 탐색하고 영향력을 평가한다.
12정보02-01,12정보02-02,exact,동일한 정보가 다양한 방법으로 디지털로 변환되어 표 현될 수 있음을 이해하고 정보 활용 목적에 따라 보다 효율적인 방법을 선 택한다.,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-01,12정보02-02,exact,동일한 정보가 다양한 방법으로 디지털로 변환되어 표 현될 수 있음을 이해하고 정보 활용 목적에 따라 보다 효율적인 방법을 선 택한다.,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-02,9정01-02,exact,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다","피지컬 컴퓨팅의 개념을 이해하고, 생활 속에서 적용된 사례 조사를 통해 컴퓨팅 시스템의 필요성과 가치를 판단한다."
12정보02-02,12정보02-01,exact,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다",동일한 정보가 다양한 방법으로 디지털로 변환되어 표 현될 수 있음을 이해하고 정보 활용 목적에 따라 보다 효율적인 방법을 선 택한다.
12정보02-03,12정보02-02,exact,"인터넷, 응용 소프트웨어 등 컴퓨팅 도구를 활용하여 문제 해결을 위한 자료를 수집하고 분석한다.","컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-03,12정보02-02,exact,"인터넷, 응용 소프트웨어 등 컴퓨팅 도구를 활용하여 문제 해결을 위한 자료를 수집하고 분석한다.","컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-03,12정보02-02,exact,"인터넷, 응용 소프트웨어 등 컴퓨팅 도구를 활용하여 문제 해결을 위한 자료를 수집하고 분석한다.","컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-03,12정보02-02,exact,"인터넷, 응용 소프트웨어 등 컴퓨팅 도구를 활용하여 문제 해결을 위한 자료를 수집하고 분석한다.","컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-04,12정보02-01,exact,정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.,동일한 정보가 다양한 방법으로 디지털로 변환되어 표 현될 수 있음을 이해하고 정보 활용 목적에 따라 보다 효율적인 방법을 선 택한다.
12정보02-04,12정보02-02,exact,정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-04,12정보02-02,exact,정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보02-04,12정보02-02,exact,정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.,"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료 들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다"
12정보03-01,INVALID,invalid,"복잡한 문제 상황에서 문제의 현재 상태, 목표 상태를 이 해하고 목표 상태에 도달하기 위해 수행해야 할 작업을 분석한다.",INVALID
12정보03-01,INVALID,invalid,"복잡한 문제 상황에서 문제의 현재 상태, 목표 상태를 이 해하고 목표 상태에 도달하기 위해 수행해야 할 작업을 분석한다.",INVALID
12정보03-01,12정보03-02,exact,"복잡한 문제 상황에서 문제의 현재 상태, 목표 상태를 이 해하고 목표 상태에 도달하기 위해 수행해야 할 작업을 분석한다.",복잡한 문제 상황에서 문제 해결에 불필요한 요소를 제거하 거나 필요한 요소를 추출한다.
12정보03-02,9정03-02,exact,복잡한 문제 상황에서 문제 해결에 불필요한 요소를 제거하 거나 필요한 요소를 추출한다.,"문제 해결을 위한 추상화의 중요성을 이해하고, 핵심요소를 중심으로 알고리즘을 표현한다."
12정보03-02,INVALID,invalid,복잡한 문제 상황에서 문제 해결에 불필요한 요소를 제거하 거나 필요한 요소를 추출한다.,INVALID
