true_code,pred_code,match_type,true_content,pred_content
12기가01-01,INVALID,invalid,"건강한 가족 형성의 기반이 되는 사랑과 결혼의 의미를 이해하고, 행복한 결혼에 대한 가치를 탐색한다.",INVALID
12기가01-01,12기가01-02,exact,"건강한 가족 형성의 기반이 되는 사랑과 결혼의 의미를 이해하고, 행복한 결혼에 대한 가치를 탐색한다.","이상적인 배우자상에 대한 개인적·사회적 고정 관념을 성찰하고, 행복한 가정생활을 위한 배우자 선택 기준을 제안한다."
12기가01-02,INVALID,invalid,"이상적인 배우자상에 대한 개인적·사회적 고정 관념을 성찰하고, 행복한 가정생활을 위한 배우자 선택 기준을 제안한다.",INVALID
12기가01-03,12기가01-06,exact,"부모 됨의 의미를 인식하고, 책임 있는 부모가 되기 위해 필요한 역량을 탐색한다.","가족 문화의 의미를 이해하고, 세대 간 관계를 조화롭게 영위할 수 있는 방안을 탐색하여 가족 관계에 적용한다."
12기가01-05,INVALID,invalid,"신생아기, 영·유아기, 아동기의 발달 특징을 이해하고 이에 따른 자녀 돌보기의 방법을 익혀 부모가 되기 위해 필요한 역량을 추론한다.",INVALID
12기가01-05,INVALID,invalid,"신생아기, 영·유아기, 아동기의 발달 특징을 이해하고 이에 따른 자녀 돌보기의 방법을 익혀 부모가 되기 위해 필요한 역량을 추론한다.",INVALID
12기가01-06,INVALID,invalid,"가족 문화의 의미를 이해하고, 세대 간 관계를 조화롭게 영위할 수 있는 방안을 탐색하여 가족 관계에 적용한다.",INVALID
12기가02-02,9기가02-05,exact,"경제적 자립의 태도를 갖추기 위해 개인과 가족의 상황에 맞는 가계 재무 설계의 필요성을 이해하고, 가정경제 관리 방안을 계획한다.",의복 재료의 특성을 이해하고 건강과 환경을 고려한 의복의 세탁과 관리 방안을 탐색하여 실천한다.
12기가02-02,9기가03-12,exact,"경제적 자립의 태도를 갖추기 위해 개인과 가족의 상황에 맞는 가계 재무 설계의 필요성을 이해하고, 가정경제 관리 방안을 계획한다.",다양한 수송 수단과 물류 체제를 이해하고 발달과정 및 특징과 혁신적인 활용 사례를 조사하여 수송 분야의 발달을 전망한다.
12기가02-02,12기가02-05,exact,"경제적 자립의 태도를 갖추기 위해 개인과 가족의 상황에 맞는 가계 재무 설계의 필요성을 이해하고, 가정경제 관리 방안을 계획한다.",개인 및 가족의 생애 주기에 따른 맞춤형 스마트 복지 현황을 파악하고 자신이 설정한 삶의 목표 실현에 적용할 수 있는 복지서비스 정책을 제안한다.
12기가02-03,12기가04-02,exact,소비자의 안전을 위협하는 다양한 문제를 비판적으로 성찰하며 소비자 시민성을 반영한 소비생활을 실천한다.,"공학의 개념을 정의하고 공학의 설계 과정을 이해하며, 공학의 혁신 사례를 조사하여 공학의 가치를 인식한다."
12기가02-05,12기가02-01,exact,개인 및 가족의 생애 주기에 따른 맞춤형 스마트 복지 현황을 파악하고 자신이 설정한 삶의 목표 실현에 적용할 수 있는 복지서비스 정책을 제안한다.,"저출생·고령사회에서 생활 설계의 필요성을 인식하고, 전 생애에 걸친 안정적인 삶을 준비하기 위한 생활을 설계한다."
12기가02-05,12기가02-01,exact,개인 및 가족의 생애 주기에 따른 맞춤형 스마트 복지 현황을 파악하고 자신이 설정한 삶의 목표 실현에 적용할 수 있는 복지서비스 정책을 제안한다.,"저출생·고령사회에서 생활 설계의 필요성을 인식하고, 전 생애에 걸친 안정적인 삶을 준비하기 위한 생활을 설계한다."
12기가03-01,12기가03-03,exact,"성년기의 성과 사랑에 관하여 탐구하고, 성인으로서의 독립과 자신과 타인을 보호하는 건강한 관계 맺기의 의미를 추론한다.",가족 내 소통과 협력의 태도를 기르기 위하여 중년기와 청소년기의 발달 특성을 인식하고 차이와 공통점을 탐구하여 자신과 가족의 생활에 적용한다.
12기가03-01,12기가03-03,exact,"성년기의 성과 사랑에 관하여 탐구하고, 성인으로서의 독립과 자신과 타인을 보호하는 건강한 관계 맺기의 의미를 추론한다.",가족 내 소통과 협력의 태도를 기르기 위하여 중년기와 청소년기의 발달 특성을 인식하고 차이와 공통점을 탐구하여 자신과 가족의 생활에 적용한다.
12기가03-01,12기가01-01,exact,"성년기의 성과 사랑에 관하여 탐구하고, 성인으로서의 독립과 자신과 타인을 보호하는 건강한 관계 맺기의 의미를 추론한다.","건강한 가족 형성의 기반이 되는 사랑과 결혼의 의미를 이해하고, 행복한 결혼에 대한 가치를 탐색한다."
