true_code,pred_code,match_type,true_content,pred_content
10공영1-01-01,10공영1-01-05,exact,말이나 글에 포함된 세부 정보를 파악한다.,말이나 글에 포함된 표현의 함축적 의미를 추론한다.
10공영1-01-01,INVALID,invalid,말이나 글에 포함된 세부 정보를 파악한다.,INVALID
10공영1-01-02,INVALID,invalid,말이나 글의 주제나 요지를 파악한다.,INVALID
10공영1-01-02,10영03-04,exact,말이나 글의 주제나 요지를 파악한다.,친숙한 일반적 주제에 관한 글을 읽고 필자의 의도나 글의 목적을 파악할 수 있다.
10공영1-01-03,9영02-08,exact,말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 추론한다.,"간단한 일기, 편지, 이메일 등의 글을 쓴다."
10공영1-01-03,10영04-04,exact,말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 추론한다.,주변의 대상이나 상황을 묘사하는 글을 쓸 수 있다.
10공영1-01-03,10영03-04,exact,말이나 글의 분위기나 화자나 인물의 심정 및 의도 등을 추론한다.,친숙한 일반적 주제에 관한 글을 읽고 필자의 의도나 글의 목적을 파악할 수 있다.
10공영1-01-05,INVALID,invalid,말이나 글에 포함된 표현의 함축적 의미를 추론한다.,INVALID
10공영1-01-05,10영03-04,exact,말이나 글에 포함된 표현의 함축적 의미를 추론한다.,친숙한 일반적 주제에 관한 글을 읽고 필자의 의도나 글의 목적을 파악할 수 있다.
10공영1-02-04,10영03-01,exact,"자신의 생각이나 의견, 감정, 감상 등을 표현한다.",친숙한 일반적 주제에 관한 글을 읽고 세부 정보를 파악할 수 있다.
10공영1-02-04,10영04-03,exact,"자신의 생각이나 의견, 감정, 감상 등을 표현한다.",일상생활이나 친숙한 일반적 주제에 관해 자신의 의견이나 감정을 쓸 수 있다.
10공영1-02-04,INVALID,invalid,"자신의 생각이나 의견, 감정, 감상 등을 표현한다.",INVALID
10영01-01,10영03-04,exact,친숙한 일반적 주제에 관한 말이나 대화를 듣고 세부 정보를 파악할 수 있다.,친숙한 일반적 주제에 관한 글을 읽고 필자의 의도나 글의 목적을 파악할 수 있다.
10영01-01,INVALID,invalid,친숙한 일반적 주제에 관한 말이나 대화를 듣고 세부 정보를 파악할 수 있다.,INVALID
10영01-01,10영04-06,exact,친숙한 일반적 주제에 관한 말이나 대화를 듣고 세부 정보를 파악할 수 있다.,"일상생활이나 친숙한 일반적 주제에 관한 그림, 도표 등을 설명하는 글을 쓸 수 있다"
